CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,683504.01,394723.981,295931.572,378663.12,305901.29,305066.66,301963.28,312812.83,331787.09,391539.48,460559.66,571512.942,343430.89,308663.89,215062.67,256376.35,163073.421,286209.39,279982.71,254244.84,273833.38,376156.511,414950.35,446632.65,163414.18
2010-01,161078.691,38985.35,50955.47,57400.211,58528.89,60795.090000000004,51990.1,48004.07,60459.54,74544.04,76602.0,39667.04,42528.8,34626.2,48334.91,30963.83,49887.18,40794.9,47788.47,42644.37,59080.64,59783.83,58412.73,8807.58,
2010-02,169642.034,33174.62,54677.76,53236.91,43906.71,39565.7,40078.67,51089.571,52810.88,54630.03,24608.22,18969.02,27773.95,34440.25,20696.93,37949.95,29949.07,33379.19,25452.85,45351.94,45876.41,38482.65,11143.89,,
2010-03,234185.261,49737.45,51722.75,64507.63,50115.97,55850.23,65378.39,81126.03,76267.27,21162.8,24671.99,30097.21,43607.19,41927.37,47310.94,31752.97,42538.51,49959.38,47404.62,57324.0,62223.16,17257.79,,,
2010-04,124265.291,18871.04,20579.41,30099.75,22224.760000000002,30769.05,35105.3,32670.45,10302.55,17661.73,6498.14,16954.37,21429.66,22614.4,16747.04,22450.36,17851.94,19359.41,32099.9,29883.44,4942.32,,,,
2010-05,110407.13,13574.65,14065.4,12685.68,16861.31,31174.36,23140.53,9030.48,5879.5199999999995,7238.21,9263.98,13201.06,17411.74,18100.47,10314.72,14712.35,22168.65,17589.7,15874.58,3417.78,,,,,
2010-06,131044.36,16038.77,22546.5,25780.81,34934.4,48306.23,15921.01,17269.38,23850.97,28526.94,12458.01,29939.65,40341.98,16108.24,45798.64,18715.65,38368.76,27844.58,4447.42,,,,,,
2010-07,75047.65,8384.3,13690.61,24927.85,28658.5,9001.85,9095.05,10467.05,10378.25,9946.03,9192.18,12650.06,12283.53,14311.51,15681.11,15625.79,22590.65,7183.3,,,,,,,
2010-08,60663.3,13797.99,23029.07,23403.83,14214.98,5428.84,5303.23,7279.92,9854.03,9831.21,7242.49,6992.87,11195.27,18300.55,19485.88,19734.22,5620.11,,,,,,,,
2010-09,159647.2,29633.55,32174.95,12190.99,26219.850000000002,8267.87,26073.170000000002,10859.1,29454.3,14726.95,19943.94,25898.68,102850.991,25446.67,44492.21,5484.610000000001,,,,,,,,,
2010-10,185266.87,46538.18,18826.49,24273.94,12785.04,11182.61,17584.0,16023.93,22237.9,19500.24,13663.9,21028.88,49844.25,56331.61,10554.02,,,,,,,,,,
2010-11,152555.11000000002,24746.56,14253.59,9632.81,9740.7,10637.16,15671.87,11182.19,9612.62,11056.41,14714.4,19854.77,40060.11,6310.9,,,,,,,,,,,
2010-12,27318.87,2297.77,7007.2699999999995,1443.48,6146.62,1065.3600000000001,730.12,4848.94,600.24,500.83,1622.54,8559.25,468.63,,,,,,,,,,,,
2011-01,50887.94,3775.08,3980.2,26463.780000000002,8078.03,6446.85,5107.55,5544.77,4493.94,11431.02,10449.38,3621.94,,,,,,,,,,,,,
2011-02,43699.22,8496.49,16401.49,10623.36,9229.11,5524.9400000000005,7969.63,10085.07,9526.97,12314.17,2799.57,,,,,,,,,,,,,,
2011-03,78002.95,15647.85,20373.59,16778.1,16643.85,10823.81,15598.1,18676.05,21859.61,6328.52,,,,,,,,,,,,,,,
2011-04,41083.99,13350.44,7711.63,7225.39,5767.83,11192.34,6117.46,11394.93,3924.77,,,,,,,,,,,,,,,,
2011-05,52367.63,9308.33,10346.39,6448.99,10549.32,10462.91,14171.39,172634.07,,,,,,,,,,,,,,,,,
2011-06,84133.18000000001,10236.66,7880.16,10922.42,9797.58,14705.56,2473.48,,,,,,,,,,,,,,,,,,
2011-07,43871.651,7644.76,11479.19,12176.93,14689.83,4511.44,,,,,,,,,,,,,,,,,,,
2011-08,44992.17,18662.47,31382.51,40007.67,13965.72,,,,,,,,,,,,,,,,,,,,
2011-09,96393.17,20242.94,31315.2,10239.39,,,,,,,,,,,,,,,,,,,,,
2011-10,107955.23,33488.590000000004,10998.75,,,,,,,,,,,,,,,,,,,,,,
2011-11,80687.44,12833.9,,,,,,,,,,,,,,,,,,,,,,,
2011-12,23824.36,,,,,,,,,,,,,,,,,,,,,,,,
