Country,Revenue,UnitsSold,Orders,Customers,AOV,ReturnedUnits,ReturnValue,ReturnRate,ReturnValueRate
United Kingdom,17410569.687,9437245,38399,5353,453.4120598713508,923544.0,1265833.21,9.786161109518721,7.270487024586929
EIRE,658767.31,336604,626,5,1052.343945686901,9173.0,48813.53,2.7251607229860606,7.409828821044565
Netherlands,554038.09,384519,229,22,2419.3803056768556,2666.0,5707.39,0.6933337494376091,1.0301439743971397
Germany,425019.711,225173,789,107,538.6815095057034,3357.0,13060.55,1.4908536991557602,3.0729280694466423
France,350456.09,271902,622,95,563.4342282958199,90330.0,28722.7,33.22152834477128,8.195805642869553
Australia,169283.46,104067,95,15,1781.9311578947368,692.0,2839.04,0.6649562301209798,1.6770923751204048
Spain,108332.49,50318,154,41,703.4577272727273,5651.0,17319.05,11.230573552207957,15.98693983679319
Switzerland,100685.59,52763,93,22,1082.640752688172,507.0,1282.53,0.9609006311240832,1.2737969753169247
Sweden,91869.82,88633,105,19,874.9506666666667,775.0,4094.3,0.874392156420295,4.456632221550015
Denmark,68580.69,237471,43,12,1594.8997674418606,2707.0,4121.1,1.1399286649738283,6.009125892434153
Belgium,65387.82,34778,149,29,438.84442953020135,180.0,2178.9300000000003,0.5175685778365633,3.332317853692018
Norway,56322.5,23623,45,13,1251.611111111111,95.0,20866.59,0.4021504465986539,37.048408717652805
Portugal,56283.53,27719,95,24,592.4582105263157,351.0,4879.85,1.266279447310509,8.670120726258641
Channel Islands,44623.33,21396,55,13,811.3332727272727,1009.0,3543.15,4.715834735464573,7.9401290759788665
Japan,43023.91,31643,33,10,1303.7548484848485,1505.0,3361.81,4.756186202319628,7.8138179444871465
Italy,32108.170000000002,15312,65,17,493.9718461538462,190.0,1854.07,1.2408568443051202,5.774449306827514
Finland,29925.54,14375,57,14,525.0094736842105,58.0,411.09000000000003,0.4034782608695652,1.373709547095892
Singapore,25317.06,6994,11,1,2301.550909090909,7.0,12158.9,0.10008578781812982,48.02650860723954
Cyprus,24849.95,10950,37,11,671.6202702702703,298.0,817.39,2.721461187214612,3.2893023929625613
Hong Kong,23685.52,7021,15,0,1579.0346666666667,6.0,9855.02,0.08545791197835066,41.60778399629816
Austria,23613.010000000002,11578,45,13,524.7335555555557,272.0,435.40999999999997,2.3492831231646227,1.8439411155121685
Greece,19096.19,7724,18,5,1060.8994444444443,17.0,100.7,0.2200932159502848,0.5273303208650523
Israel,11328.81,5538,10,4,1132.8809999999999,56.0,227.44,1.0111953773925604,2.007624807901271
United Arab Emirates,11097.63,7321,16,4,693.601875,593.0,1148.98,8.099986340663843,10.353381758087089
Unspecified,10927.16,6729,24,6,455.29833333333335,18.0,1248.69,0.26749888542131073,11.427397420738785
Poland,10654.289999999999,5688,28,6,380.5103571428571,184.0,374.36,3.2348804500703237,3.5137019923429906
USA,8366.86,5264,20,9,418.343,1564.0,2080.32,29.711246200607906,24.863807927944297
Malta,8099.09,2519,9,2,899.8988888888889,28.0,2906.87,1.11155220325526,35.89131618490472
Iceland,4921.53,2967,8,1,615.19125,0.0,0.0,0.0,0.0
Lithuania,4892.68,2306,6,1,815.4466666666667,0.0,0.0,0.0,0.0
Canada,4883.04,3657,8,5,610.38,0.0,0.0,0.0,0.0
RSA,4804.32,1971,4,2,1201.08,1.0,1435.29,0.050735667174023336,29.874987511239887
Bahrain,3109.79,1339,10,2,310.979,64.0,248.24,4.779686333084392,7.982532582585963
Thailand,3070.54,2552,2,1,1535.27,0.0,0.0,0.0,0.0
Lebanon,1905.58,458,2,1,952.79,1.0,39.67,0.21834061135371177,2.0817808751141387
Brazil,1411.8700000000001,545,2,2,705.9350000000001,0.0,0.0,0.0,0.0
European Community,1300.25,499,4,1,325.0625,2.0,8.5,0.4008016032064128,0.6537204383772351
Bermuda,1253.1399999999999,2798,1,0,1253.1399999999999,0.0,0.0,0.0,0.0
Korea,1118.51,700,2,2,559.255,102.0,168.69,14.571428571428571,15.081671151800164
Czech Republic,826.74,671,2,1,413.37,79.0,119.02,11.773472429210134,14.396303553717008
West Indies,536.41,395,1,1,536.41,0.0,0.0,0.0,0.0
Saudi Arabia,145.92,80,1,1,145.92,5.0,14.75,6.25,10.108278508771932
Nigeria,140.39,103,2,1,70.195,47.0,147.05,45.63106796116505,104.7439276301731
