Country,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,AOV,RevenueShare,CumulativeRevenue,CumulativeRevenuePct,CountryPct
United Kingdom,17410569.687,9437245,38399,5353,4.00496846116819,453.4120598713508,85.02652179892078,17410569.687,85.02652179892077,2.3255813953488373
EIRE,658767.31,336604,626,5,5.459229558832099,1052.343945686901,3.217166011859714,18069336.996999998,88.24368781078049,4.651162790697675
Netherlands,554038.09,384519,229,22,2.682459724950884,2419.3803056768556,2.7057088069893345,18623375.086999997,90.94939661776982,6.976744186046512
Germany,425019.711,225173,789,107,3.5904240267639906,538.6815095057034,2.075632697377831,19048394.797999997,93.02502931514765,9.30232558139535
France,350456.09,271902,622,95,4.272209677419355,563.4342282958199,1.7114926686286982,19398850.887999997,94.73652198377633,11.627906976744185
Australia,169283.46,104067,95,15,3.5867243303571428,1781.9311578947368,0.8267152689802009,19568134.347999997,95.56323725275654,13.953488372093023
Spain,108332.49,50318,154,41,4.262738192738193,703.4577272727273,0.5290541888123325,19676466.837999996,96.09229144156886,16.27906976744186
Switzerland,100685.59,52763,93,22,3.7469292347102146,1082.640752688172,0.4917096721633656,19777152.427999996,96.58400111373223,18.6046511627907
Sweden,91869.82,88633,105,19,4.911474550898204,874.9506666666667,0.44865684428037234,19869022.247999996,97.0326579580126,20.930232558139537
Denmark,68580.69,237471,43,12,2.808483290488432,1594.8997674418606,0.33492169630865165,19937602.937999997,97.36757965432126,23.25581395348837
Belgium,65387.82,34778,149,29,4.242153141361257,438.84442953020135,0.3193289480220274,20002990.757999998,97.6869086023433,25.581395348837212
Norway,56322.5,23623,45,13,15.627813953488372,1251.611111111111,0.2750574139797081,20059313.257999998,97.961966016323,27.906976744186046
Portugal,56283.53,27719,95,24,5.000623481781377,592.4582105263157,0.27486709949752447,20115596.788,98.23683311582053,30.23255813953488
Channel Islands,44623.33,21396,55,13,4.586415215989684,811.3332727272727,0.21792317018887886,20160220.117999997,98.4547562860094,32.55813953488372
Japan,43023.91,31643,33,10,2.0111538461538463,1303.7548484848485,0.21011221845436026,20203244.027999997,98.66486850446377,34.883720930232556
Italy,32108.170000000002,15312,65,17,4.782031900138696,493.9718461538462,0.15680394527623678,20235352.198,98.82167244974,37.2093023255814
Finland,29925.54,14375,57,14,4.765697674418605,525.0094736842105,0.14614482035325696,20265277.737999998,98.96781727009326,39.53488372093023
Singapore,25317.06,6994,11,1,39.299410029498524,2301.550909090909,0.12363877763183646,20290594.797999997,99.09145604772509,41.86046511627907
Cyprus,24849.95,10950,37,11,5.124507042253521,671.6202702702703,0.12135759216165916,20315444.747999996,99.21281363988675,44.18604651162791
Hong Kong,23685.52,7021,15,0,31.312881355932205,1579.0346666666667,0.11567096417887447,20339130.267999995,99.32848460406561,46.51162790697674
Austria,23613.010000000002,11578,45,13,4.2816811279826466,524.7335555555557,0.11531685324474213,20362743.277999997,99.44380145731037,48.837209302325576
Greece,19096.19,7724,18,5,3.852024353120244,1060.8994444444443,0.09325844268747235,20381839.468,99.53705989999784,51.162790697674424
Israel,11328.81,5538,10,4,3.5780327868852457,1132.8809999999999,0.055325548085888535,20393168.277999997,99.59238544808373,53.48837209302325
United Arab Emirates,11097.63,7321,16,4,4.298394004282655,693.601875,0.05419655393676822,20404265.907999996,99.6465820020205,55.81395348837209
Unspecified,10927.16,6729,24,6,2.9121791443850267,455.29833333333335,0.0533640440630744,20415193.067999996,99.69994604608357,58.139534883720934
Poland,10654.289999999999,5688,28,6,3.656686507936508,380.5103571428571,0.0520314519985772,20425847.357999995,99.75197749808214,60.46511627906976
USA,8366.86,5264,20,9,3.5772371638141807,418.343,0.04086052420844708,20434214.217999995,99.79283802229058,62.7906976744186
Malta,8099.09,2519,9,2,13.36177304964539,899.8988888888889,0.03955283858118717,20442313.307999995,99.83239086087177,65.11627906976744
Iceland,4921.53,2967,8,1,2.4980630630630634,615.19125,0.024034858442426258,20447234.837999996,99.8564257193142,67.44186046511628
Lithuania,4892.68,2306,6,1,2.56474025974026,815.4466666666667,0.023893966145505586,20452127.517999995,99.88031968545971,69.76744186046511
Canada,4883.04,3657,8,5,4.6407456140350885,610.38,0.02384688809551199,20457010.557999995,99.90416657355522,72.09302325581395
RSA,4804.32,1971,4,2,11.42,1201.08,0.023462449911331906,20461814.877999995,99.92762902346655,74.4186046511628
Bahrain,3109.79,1339,10,2,3.4792741935483873,310.979,0.015187017540413805,20464924.667999994,99.94281604100695,76.74418604651163
Thailand,3070.54,2552,2,1,2.999605263157895,1535.27,0.014995335645989665,20467995.207999993,99.95781137665294,79.06976744186046
Lebanon,1905.58,458,2,1,5.595438596491228,952.79,0.009306119347178343,20469900.78799999,99.96711749600011,81.3953488372093
Brazil,1411.8700000000001,545,2,2,2.7267021276595744,705.9350000000001,0.006895029714155631,20471312.657999992,99.97401252571427,83.72093023255815
European Community,1300.25,499,4,1,4.83,325.0625,0.0063499205917193925,20472612.907999992,99.98036244630599,86.04651162790698
Bermuda,1253.1399999999999,2798,1,0,2.4911764705882353,1253.1399999999999,0.00611985348225898,20473866.047999993,99.98648229978825,88.37209302325581
Korea,1118.51,700,2,2,2.2671698113207546,559.255,0.005462372375346324,20474984.557999995,99.9919446721636,90.69767441860465
Czech Republic,826.74,671,2,1,3.1308,413.37,0.004037479984616874,20475811.297999993,99.99598215214822,93.02325581395348
West Indies,536.41,395,1,1,2.2735185185185185,536.41,0.0026196199996955964,20476347.707999993,99.99860177214791,95.34883720930233
Saudi Arabia,145.92,80,1,1,2.351111111111111,145.92,0.0007126171218947847,20476493.627999995,99.99931438926981,97.67441860465115
Nigeria,140.39,103,2,1,3.416,70.195,0.0006856107301453455,20476634.017999995,99.99999999999997,100.0
