Country,Revenue,Units,Orders,Customers
United Kingdom,17410569.687,9437245,38399,5353
EIRE,658767.31,336604,626,5
Netherlands,554038.09,384519,229,22
Germany,425019.711,225173,789,107
France,350456.09,271902,622,95
Australia,169283.46,104067,95,15
Spain,108332.49,50318,154,41
Switzerland,100685.59,52763,93,22
Sweden,91869.82,88633,105,19
Denmark,68580.69,237471,43,12
Belgium,65387.82,34778,149,29
Norway,56322.5,23623,45,13
Portugal,56283.53,27719,95,24
Channel Islands,44623.33,21396,55,13
Japan,43023.91,31643,33,10
Italy,32108.170000000002,15312,65,17
Finland,29925.54,14375,57,14
Singapore,25317.06,6994,11,1
Cyprus,24849.95,10950,37,11
Hong Kong,23685.52,7021,15,0
Austria,23613.010000000002,11578,45,13
Greece,19096.19,7724,18,5
Israel,11328.81,5538,10,4
United Arab Emirates,11097.63,7321,16,4
Unspecified,10927.16,6729,24,6
Poland,10654.289999999999,5688,28,6
USA,8366.86,5264,20,9
Malta,8099.09,2519,9,2
Iceland,4921.53,2967,8,1
Lithuania,4892.68,2306,6,1
Canada,4883.04,3657,8,5
RSA,4804.32,1971,4,2
Bahrain,3109.79,1339,10,2
Thailand,3070.54,2552,2,1
Lebanon,1905.58,458,2,1
Brazil,1411.8700000000001,545,2,2
European Community,1300.25,499,4,1
Bermuda,1253.1399999999999,2798,1,0
Korea,1118.51,700,2,2
Czech Republic,826.74,671,2,1
West Indies,536.41,395,1,1
Saudi Arabia,145.92,80,1,1
Nigeria,140.39,103,2,1
