StockCode,DescriptionClean,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,RevenueRank,VolumeRank,RankDifference,RevenuePerUnit,ReturnedUnits,ReturnValue,ReturnOrders,ReturnRate
79323B,BLACK CHERRY LIGHTS,1565.7,242,58,35,7.727241379310345,2143.0,3439.0,1296.0,6.469834710743802,248.0,1557.2,51.0,102.4793388429752
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,2.08,5.0,3.0,-2.0,2.08,80995.0,168469.6,1.0,100.0
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138,1.46848,11.0,5.0,-6.0,1.047004728768598,74494.0,77479.64,10.0,95.46473927697257
23113,PANTRY CHOPPING BOARD,5868.5,1154,57,39,6.361754385964912,800.0,1903.0,1103.0,5.085355285961872,946.0,4803.06,6.0,81.97573656845753
23055,IVORY CHANDELIER T-LIGHT HOLDER,1395.18,657,38,33,5.62125,2279.0,2527.0,248.0,2.1235616438356164,432.0,690.72,5.0,65.75342465753424
23057,BEADED CHANDELIER T-LIGHT HOLDER,1420.97,695,38,31,4.771578947368421,2264.0,2465.0,201.0,2.0445611510791366,433.0,636.15,6.0,62.302158273381295
79341,WILLOW BRANCH LIGHTS.,4423.69,725,79,49,8.0465,1037.0,2415.0,1378.0,6.101641379310344,448.0,2519.6000000000004,23.0,61.793103448275865
84919,BLUE CUSHION COVER WITH FLOWER,1545.53,283,39,18,6.487435897435897,2158.0,3302.0,1144.0,5.461236749116607,172.0,723.4,6.0,60.7773851590106
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,2879.37,960,38,32,6.182564102564102,1453.0,2124.0,671.0,2.99934375,579.0,1859.07,7.0,60.3125
M,MANUAL,339599.81,9637,791,443,391.06160421545667,1.0,244.0,243.0,35.23916260246965,5444.0,422926.14,495.0,56.490609110719106
79323G,GOLD CHERRY LIGHTS,2007.88,314,61,37,7.712295081967213,1861.0,3198.0,1337.0,6.3945222929936305,175.0,1037.45,25.0,55.73248407643312
85160A,WHITE BIRD GARDEN DESIGN MUG,1493.75,8816,32,20,5.4087499999999995,2193.0,266.0,-1927.0,0.16943625226860254,4320.0,561.6,1.0,49.00181488203267
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,4546.78,8311,66,48,3.496818181818182,1014.0,295.0,-719.0,0.5470797737937673,3940.0,1664.9199999999998,2.0,47.40705089640236
