YearMonth,ReturnValue,ReturnedUnits,ReturnTransactions
2009-12,25835.45,25771,491
2010-01,28675.61,20724,428
2010-02,20612.93,24360,687
2010-03,67668.02,42302,597
2010-04,37354.2,35270,379
2010-05,44434.78,61238,776
2010-06,72463.44,27276,497
2010-07,31444.79,57415,432
2010-08,40477.52,70987,366
2010-09,70591.03,115807,464
2010-10,81290.74,22620,594
2010-11,47595.94,59847,801
2010-12,74729.12,20056,396
2011-01,131363.05000000002,88749,356
2011-02,25519.15,8700,267
2011-03,34201.28,32858,452
2011-04,44600.65,23077,426
2011-05,47202.51,19034,431
2011-06,70569.78,52688,436
2011-07,37919.13,16422,387
2011-08,54330.8,18816,328
2011-09,38838.51,25500,431
2011-10,81895.5,56624,508
2011-11,47720.979999999996,31286,578
2011-12,205089.27000000002,88707,176
