YearMonth,Revenue,Units,Orders,Customers,AOV
2009-12,822483.95,444341,1839,955,447.2452147906471
2010-01,651155.112,395234,1206,720,539.9296119402985
2010-02,551878.296,391861,1283,774,430.1467622759158
2010-03,830915.261,530314,1770,1057,469.4436502824859
2010-04,678875.252,385747,1512,942,448.9915687830688
2010-05,657705.5,424009,1642,966,400.5514616321559
2010-06,749537.31,413723,1719,1041,436.0310122164049
2010-07,648810.27,358590,1584,928,409.6024431818182
2010-08,695251.91,521762,1511,911,460.1270086035738
2010-09,921696.991,592615,1911,1145,482.31135060177917
2010-10,1161902.22,622277,2370,1497,490.2541012658228
2010-11,1464293.142,730417,2868,1607,510.56246234309623
2010-12,821452.73,361094,1629,885,504.26809699201965
2011-01,689811.61,397030,1120,741,615.9032232142857
2011-02,522545.56,286074,1126,758,464.07243339253995
2011-03,716215.26,384023,1531,974,467.80879163945133
2011-04,536968.491,311314,1318,856,407.41160166919576
2011-05,769296.61,398686,1731,1056,444.4232293471981
2011-06,760547.01,393633,1576,991,482.58059010152283
2011-07,718076.121,405473,1541,949,465.98061064244
2011-08,757841.38,424264,1407,935,538.6221606254442
2011-09,1056435.192,574169,1896,1266,557.1915569620253
2011-10,1151263.73,626373,2129,1364,540.7532785345232
2011-11,1503866.78,768468,2884,1665,521.4517267683773
2011-12,637808.33,314417,839,615,760.20063170441
