StockCode,DescriptionClean,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,RevenuePerUnit,ReturnedUnits,ReturnValue,ReturnRate
M,MANUAL,339599.81,9637,791,443,391.06160421545667,35.23916260246965,5444.0,422926.14,56.490609110719106
22423,REGENCY CAKESTAND 3 TIER,330590.32,26495,3920,1314,14.176062215477998,12.477460652953388,1450.0,16545.3,5.4727307039063975
DOT,DOTCOM POSTAGE,309854.11,1420,1420,1,218.20711971830985,218.20711971830985,3.0,10.01,0.21126760563380279
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2,94147,5361,1490,3.0726293807880882,2.735575217479049,3637.0,9387.1,3.8631076932881556
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,2.08,2.08,80995.0,168469.6,100.0
47566,PARTY BUNTING,148318.28,28217,2676,894,5.7139527151828595,5.25634475670695,285.0,1238.5500000000002,1.010029414891732
85099B,JUMBO BAG RED RETROSPOT,145961.83,77286,3249,860,2.36281677301732,1.8885934063090337,1191.0,2127.42,1.54102942318143
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80090,2808,1010,1.8583818883818883,1.6147395430141092,511.0,774.0699999999999,0.6380322137595205
POST,POSTAGE,125682.42,5363,1851,405,29.466515397082656,23.435096028342347,302.0,15252.01,5.6311765802722356
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29000000001,35084,2018,896,3.3699274661508705,3.3565240565499948,590.0,1461.7,1.681678257895337
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138,1.46848,1.047004728768598,74494.0,77479.64,95.46473927697257
79321,CHILLI LIGHTS,80540.88,15848,1140,304,6.257759372275502,5.082084805653711,145.0,635.75,0.9149419485108531
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,756,300,3.3425352112676054,2.2700627208761817,9381.0,330.45000000000005,29.86723550574676
85099F,JUMBO BAG STRAWBERRY,67985.77,36863,1833,549,2.2905882352941176,1.8442820714537613,283.0,512.24,0.7677074573420503
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450,2.386401179941003,2.1754133185855102,108.0,208.4,0.35134519665571423
21137,BLACK RECORD COVER FRAME,65189.29,18739,634,198,4.146305031446541,3.4788030311115854,23.0,82.29,0.12273867335503497
21931,JUMBO STORAGE BAG SUKI,61537.55,29183,2330,546,2.532299192520187,2.108677997464277,390.0,710.63,1.3363944762361648
21621,VINTAGE UNION JACK BUNTING,60286.04,6900,1292,583,9.307857689364958,8.737107246376812,64.0,544.0,0.927536231884058
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11678,1583,626,4.771301627033792,5.068431238225724,220.0,795.2,1.883884226751156
85099C,JUMBO BAG BAROQUE BLACK WHITE,59057.61,30640,1868,506,2.408958223162348,1.927467689295039,313.0,570.88,1.0215404699738904
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.700000000004,18634,1427,701,3.300415224913495,3.1476172587742837,448.0,1185.6,2.404207362885049
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,11066,1721,631,5.846643757159221,5.23964756913067,156.0,687.48,1.4097234773179108
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004,11286,1033,347,6.818394230769231,5.1369351408825095,155.0,840.55,1.3733829523303207
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,27282,2193,658,2.4498823529411764,2.100971702954329,441.0,791.52,1.6164504068616672
82484,WOOD BLACK BOARD ANT WHITE FINISH,56745.73,9831,1176,451,7.810832625318607,5.772121859424271,49.0,325.0,0.49842335469433424
22470,HEART OF WICKER LARGE,53506.130000000005,17781,1957,827,3.2045072536268138,3.0091743996400653,396.0,1028.7,2.2270963387885945
22178,VICTORIAN GLASS HANGING T-LIGHT,52382.82,40081,1816,593,1.5693047256925585,1.3069239789426412,1008.0,1262.94,2.514907312691799
21733,RED HANGING HEART T-LIGHT HOLDER,50346.490000000005,17575,1760,744,3.09675404350251,2.8646651493598867,423.0,1102.25,2.406827880512091
21181,PLEASE ONE PERSON METAL SIGN,50117.14000000001,24732,1810,598,2.366498905908096,2.0264087012776972,114.0,225.90000000000003,0.4609412906356138
22386,JUMBO BAG PINK POLKADOT,50081.96,25235,1443,432,2.5595130315500687,1.9846229443233603,461.0,826.03,1.8268278185060431
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,9776,1689,717,5.734759698899826,5.091237725040917,217.0,936.65,2.219721767594108
21929,JUMBO BAG PINK VINTAGE PAISLEY,49651.99,25608,1619,504,2.5029736358062538,1.9389249453295845,272.0,483.96999999999997,1.0621680724773508
22189,CREAM HEART CARD HOLDER,49300.94,16186,1299,536,4.4335582822085895,3.0459001606326455,43.0,168.73000000000002,0.2656616829358705
22469,HEART OF WICKER SMALL,48935.11,27949,2155,886,1.9172,1.7508715875344378,281.0,424.65,1.0054026977709398
21843,RED RETROSPOT CAKE STAND,48564.29,4637,1188,502,12.246470588235294,10.473213284451154,494.0,4273.9,10.653439723959456
21731,RED TOADSTOOL LED NIGHT LIGHT,48315.84,28910,1537,415,2.237496782496782,1.671250086475268,990.0,1457.8999999999999,3.4244206157039088
22457,NATURAL SLATE HEART CHALKBOARD,47288.23,15373,2046,874,3.5118406993686255,3.0760573733168544,109.0,315.95000000000005,0.7090353216678592
15056BL,EDWARDIAN PARASOL BLACK,47267.450000000004,9504,857,321,6.25234752589183,4.973426978114478,213.0,1071.3500000000001,2.241161616161616
21232,STRAWBERRY CERAMIC TRINKET BOX,47169.35,36629,2310,683,1.5192987675308116,1.2877596985994704,782.0,922.59,2.1349204182478365
21754,HOME BUILDING BLOCK WORD,46516.99,7595,2066,682,6.587843794920939,6.124685977616853,39.0,231.65,0.5134957208689928
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914,1137,5.3669730010384225,4.898783899209908,859.0,4052.95,9.171471279094598
20727,LUNCH BAG BLACK SKULL.,45655.27,26678,2351,705,2.023109908409659,1.7113453032461203,1211.0,1778.95,4.539320788664818
21623,VINTAGE UNION JACK MEMOBOARD,45402.18,6165,530,311,10.215838041431262,7.364506082725061,56.0,499.20000000000005,0.9083536090835361
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44063.04,15382,1390,439,3.4255777460770327,2.8645845793784943,57.0,168.15,0.37056299570927054
84078A,SET/4 WHITE RETRO STORAGE CUBES,43844.96,1128,328,151,45.85689024390244,38.86964539007092,147.0,5187.650000000001,13.031914893617023
82494L,WOODEN FRAME ANTIQUE WHITE,43811.16,15301,1973,631,3.2012643678160924,2.863287366838769,511.0,1325.8500000000001,3.339651003202405
84029E,RED WOOLLY HOTTIE WHITE HEART.,42994.24,10628,1145,500,4.464668959587274,4.045374482499059,86.0,327.7,0.8091832894241625
22197,SMALL POPCORN HOLDER,42699.89,48597,1412,426,1.0360921144452198,0.8786527974977879,363.0,276.18,0.7469596888696833
21915,RED HARMONICA IN BOX,42664.54,36289,1025,467,1.399408341416101,1.1756879495163823,884.0,991.0,2.4359998897737607
21175,GIN + TONIC DIET METAL SIGN,42613.98,20178,1609,543,2.5423874151758175,2.1119030627416,2035.0,3785.58,10.08524135196749
22383,LUNCH BAG SUKI DESIGN,42592.72,24649,2364,657,2.0805162364696086,1.7279694916629478,188.0,285.8,0.7627084263053268
23298,SPOTTY BUNTING,42513.48,8491,1141,571,5.514403114186851,5.006887292427276,110.0,482.81,1.295489341655871
20728,LUNCH BAG CARS BLUE,42270.3,24596,2067,702,1.9748732663797226,1.7185843226540902,1140.0,1678.0,4.634899983737193
48138,DOORMAT UNION FLAG,42239.5,6303,992,467,8.469145728643216,6.701491353323814,34.0,244.95999999999998,0.5394256703157227
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,16914,2006,601,2.924807502467917,2.473548539671278,460.0,1068.15,2.7196405344684877
22355,CHARLOTTE BAG SUKI DESIGN,41580.97,27557,1406,344,1.1740366972477063,1.5089077185470117,176.0,135.04,0.6386761984250825
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,14077,757,298,3.686446173800259,2.9196412587909357,2520.0,6966.66,17.901541521631028
20725,LUNCH BAG RED RETROSPOT,41043.02,22232,1837,605,2.115301399354144,1.84612360561353,596.0,890.4,2.680820439006837
20713,JUMBO BAG OWLS,40667.05,20814,1314,371,2.5839698113207543,1.9538315556836745,252.0,448.98,1.2107235514557508
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1,649.5,649.5,0.0,0.0,0.0
85066,CREAM SWEETHEART MINI CHEST,38599.979999999996,3095,931,471,14.050127523910733,12.471722132471728,106.0,1235.4,3.4248788368336025
20726,LUNCH BAG WOODLAND,38506.74,22120,1928,585,2.1101485655737706,1.7408110307414104,1015.0,1497.95,4.588607594936709
48194,DOORMAT HEARTS,38428.12,6029,1035,448,8.770433944069431,6.373879582020236,22.0,149.7,0.36490296898324764
22960,JAM MAKING SET WITH JARS,38380.11,9030,1160,583,5.054668389319552,4.25028903654485,247.0,1012.79,2.735326688815061
21166,COOK WITH WINE METAL SIGN,38138.86,19932,1425,475,2.276118466898955,1.9134487256672688,558.0,967.2299999999999,2.79951836243227
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,378,8.776284153005465,6.949815928558411,225.0,1601.25,4.100601421541826
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,640,5.83371408045977,5.09272885206468,154.0,730.1,2.05799812909261
22629,SPACEBOY LUNCH BOX,37955.5,20807,1368,456,2.1693473531544596,1.8241697505647139,71.0,125.85000000000001,0.34123131638390924
22699,ROSES REGENCY TEACUP AND SAUCER,37682.8,12861,1411,521,3.6191713483146066,2.930005442811601,491.0,1295.25,3.8177435658191436
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710,1415,387,2.738984593837535,2.1174121964991532,251.0,447.61,1.417278373800113
22727,ALARM CLOCK BAKELIKE RED,36543.77,9234,1363,473,4.37068115942029,3.9575232835174354,84.0,315.0,0.9096816114359974
22328,ROUND SNACK BOXES SET OF 4 FRUITS,35922.51,12876,1155,400,3.1904725085910655,2.7898811742777263,699.0,1812.4499999999998,5.428704566635601
20685,DOORMAT RED RETROSPOT,35198.96,5039,901,416,8.831219512195123,6.985306608454058,78.0,542.22,1.5479261758285374
21755,LOVE BUILDING BLOCK WORD,34836.020000000004,5643,1696,661,6.681397786837508,6.173315612262981,48.0,285.6,0.8506113769271665
22379,RECYCLING BAG RETROSPOT,34640.84,15765,1570,423,2.8999178774478835,2.1973257215350457,67.0,128.95000000000002,0.4249920710434507
22197,POPCORN HOLDER,34288.67,36749,803,295,1.0208363636363635,0.9330504231407657,427.0,329.41,1.1619363792212032
48185,DOORMAT FAIRY CAKE,34191.53,5095,597,219,9.783706176961603,6.710800785083415,688.0,4650.2,13.50343473994112
22666,RECIPE BOX PANTRY YELLOW DESIGN,33682.62,10728,1664,701,3.583942823108994,3.139692393736018,237.0,655.5500000000001,2.20917225950783
21523,DOORMAT FANCY FONT HOME SWEET HOME,33466.26,5077,715,271,9.214797202797202,6.591739216072484,5.0,40.05,0.09848335631278313
22630,DOLLY GIRL LUNCH BOX,33380.83,18122,1334,423,2.300874074074074,1.842005849244013,302.0,530.9999999999999,1.666482728175698
48187,DOORMAT NEW ENGLAND,33203.79,5291,818,389,8.366121951219512,6.275522585522586,7.0,54.730000000000004,0.1323001323001323
22382,LUNCH BAG SPACEBOY DESIGN,33049.37,19605,2109,774,1.9003522780648192,1.6857623055343025,253.0,387.25,1.2904871206324917
15036,ASSORTED COLOURS SILK FAN,32967.03,44392,992,303,0.9922557905337361,0.742634483690755,929.0,644.03,2.092719408902505
22726,ALARM CLOCK BAKELIKE GREEN,32609.32,7671,1273,404,4.472062256809338,4.2509868335288745,65.0,243.75,0.8473471516099595
22385,JUMBO BAG SPACEBOY DESIGN,32433.5,17070,1250,412,2.436019032513878,1.9000292911540715,426.0,725.44,2.495606326889279
82486,WOOD S/3 CABINET ANT WHITE FINISH,31594.39,3994,1072,320,8.51200184501845,7.910463194792188,64.0,519.0,1.6024036054081119
