StockCode,Description,Support
85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.14596614640580347
85099B,JUMBO BAG RED WHITE SPOTTY,0.10876016706968565
22423,REGENCY CAKESTAND 3 TIER,0.10614970323147944
21212,PACK OF 72 RETRO SPOT CAKE CASES,0.08562321389316334
20725,LUNCH BAG RED SPOTTY,0.08394702132336777
84879,ASSORTED COLOUR BIRD ORNAMENT,0.07683007254341613
47566,PARTY BUNTING,0.07276324466915805
21232,STRAWBERRY CERAMIC TRINKET BOX,0.06674543855792482
22383,LUNCHBAG SUKI DESIGN,0.0658661244229501
20727,LUNCH BAG BLACK SKULL.,0.06443723895361618
21931,JUMBO STORAGE BAG SUKI,0.06391514618597494
22197,"POPCORN HOLDER , SMALL",0.06259617498351286
22386,JUMBO BAG PINK WITH WHITE SPOTS,0.06157946801494834
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,0.06017806111233238
22382,LUNCHBAG SPACEBOY DESIGN,0.05916135414376786
22469,HEART OF WICKER SMALL,0.05883161134315234
84991,60 TEATIME FAIRY CAKE CASES,0.05841943284238294
21080,SET/20 RED SPOTTY PAPER NAPKINS,0.05828204000879314
22384,LUNCHBAG PINK RETROSPOT,0.05773246867443394
22139,RETRO SPOT TEA SET CERAMIC 11 PC,0.0573477687403825
20728,LUNCH BAG CARS BLUE,0.05668828313915146
21754,HOME BUILDING BLOCK WORD,0.056633326005715544
20724,RED SPOTTY CHARLOTTE BAG,0.05591888327104858
22457,NATURAL SLATE HEART CHALKBOARD,0.05580896900417674
20914,SET/5 RED SPOTTY LID GLASS BOWLS,0.05547922620356122
22086,PAPER CHAIN KIT 50'S CHRISTMAS,0.05495713343591998
82482,WOODEN PICTURE FRAME WHITE FINISH,0.054929654869202024
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.0547373049021763
82494L,WOODEN FRAME ANTIQUE WHITE,0.05410529786766322
22470,HEART OF WICKER LARGE,0.0535007693998681
20726,LUNCH BAG WOODLAND,0.0528138052319191
22138,BAKING SET 9 PIECE RETROSPOT,0.052099362497252145
21790,VINTAGE SNAP CARDS,0.05179709826335458
21034,REX CASH+CARRY JUMBO SHOPPER,0.05149483402945702
