StockCode,DescriptionClean,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,RevenueRank,VolumeRank,RankDifference,RevenuePerUnit,CumulativeRevenue,CumulativeRevenuePct,ProductPct
M,MANUAL,339599.81,9637,791,443,391.06160421545667,1.0,244.0,243.0,35.23916260246965,339599.81,1.6584747752070705,0.017274140611504576
22423,REGENCY CAKESTAND 3 TIER,330590.32,26495,3920,1314,14.176062215477998,2.0,43.0,41.0,12.477460652953388,670190.13,3.272950668605343,0.03454828122300915
DOT,DOTCOM POSTAGE,309854.11,1420,1420,1,218.20711971830985,3.0,1691.0,1688.0,218.20711971830985,980044.24,4.786158892806754,0.05182242183451373
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2,94147,5361,1490,3.0726293807880882,4.0,2.0,-2.0,2.735575217479049,1237590.44,6.043915415551673,0.0690965624460183
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,2.08,5.0,3.0,-2.0,2.08,1406060.04,6.86665610551032,0.08637070305752288
47566,PARTY BUNTING,148318.28,28217,2676,894,5.7139527151828595,6.0,35.0,29.0,5.25634475670695,1554378.32,7.59098550393401,0.10364484366902746
85099B,JUMBO BAG RED RETROSPOT,145961.83,77286,3249,860,2.36281677301732,7.0,6.0,-1.0,1.8885934063090337,1700340.1500000001,8.303806907450292,0.12091898428053204
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80090,2808,1010,1.8583818883818883,8.0,4.0,-4.0,1.6147395430141092,1829664.6400000001,8.935377945377313,0.1381931248920366
POST,POSTAGE,125682.42,5363,1851,405,29.466515397082656,9.0,501.0,492.0,23.435096028342347,1955347.06,9.549162515094771,0.1554672655035412
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29000000001,35084,2018,896,3.3699274661508705,10.0,24.0,14.0,3.3565240565499948,2073107.35,10.124258450767023,0.17274140611504576
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138,1.46848,11.0,5.0,-6.0,1.047004728768598,2154808.27,10.523254301003838,0.19001554672655036
79321,CHILLI LIGHTS,80540.88,15848,1140,304,6.257759372275502,12.0,111.0,99.0,5.082084805653711,2235349.15,10.916584962328352,0.20728968733805492
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,756,300,3.3425352112676054,13.0,27.0,14.0,2.2700627208761817,2306649.55,11.264788675581826,0.2245638279495595
85099F,JUMBO BAG STRAWBERRY,67985.77,36863,1833,549,2.2905882352941176,14.0,20.0,6.0,1.8442820714537613,2374635.32,11.596805011568675,0.24183796856106407
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450,2.386401179941003,15.0,29.0,14.0,2.1754133185855102,2441505.3499999996,11.923372502794125,0.25911210917256866
21137,BLACK RECORD COVER FRAME,65189.29,18739,634,198,4.146305031446541,16.0,80.0,64.0,3.4788030311115854,2506694.6399999997,12.241731906701501,0.2763862497840732
21931,JUMBO STORAGE BAG SUKI,61537.55,29183,2330,546,2.532299192520187,17.0,33.0,16.0,2.108677997464277,2568232.1899999995,12.542257617840868,0.29366039039557784
21621,VINTAGE UNION JACK BUNTING,60286.04,6900,1292,583,9.307857689364958,18.0,363.0,345.0,8.737107246376812,2628518.2299999995,12.836671435790661,0.3109345310070824
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11678,1583,626,4.771301627033792,19.0,185.0,166.0,5.068431238225724,2687707.3699999996,13.125728416288382,0.32820867161858697
85099C,JUMBO BAG BAROQUE BLACK WHITE,59057.61,30640,1868,506,2.408958223162348,20.0,30.0,10.0,1.927467689295039,2746764.9799999995,13.414143054886141,0.34548281223009153
