Antecedent,Consequent,Support,Confidence,Lift
PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.011843262255440756,0.9189765458422173,24.73623850317306
PINK REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.020196746537700594,0.9051724137931034,24.36467047541318
"WOODLAND CHARLOTTE BAG + STRAWBERRY CHARLOTTE BAG + CHARLOTTE BAG , PINK/WHITE SPOTS",RED SPOTTY CHARLOTTE BAG,0.011623433721697076,0.9038461538461537,16.16352296352296
PINK REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.013601890525390195,0.8935018050541516,24.050530835451692
"CHARLOTTE BAG , SUKI DESIGN + STRAWBERRY CHARLOTTE BAG + CHARLOTTE BAG , PINK/WHITE SPOTS",RED SPOTTY CHARLOTTE BAG,0.012227962189492196,0.8882235528942115,15.88414326138877
POPPY'S PLAYHOUSE LIVINGROOM + POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.011238733787645637,0.8872017353579177,43.513538481327956
SET/6 RED SPOTTY PAPER CUPS + SET/20 RED SPOTTY PAPER NAPKINS,SET/6 RED SPOTTY PAPER PLATES,0.013327104858210596,0.8707360861759426,32.203076878165554
PINK REGENCY TEACUP AND SAUCER + GREEN REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.011843262255440756,0.8707070707070707,22.314627969839236
POPPY'S PLAYHOUSE LIVINGROOM + POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.011238733787645637,0.8628691983122363,44.6679030796286
PINK REGENCY TEACUP AND SAUCER + GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.020196746537700594,0.8506944444444445,21.80174100156495
"CHARLOTTE BAG , SUKI DESIGN + WOODLAND CHARLOTTE BAG + CHARLOTTE BAG , PINK/WHITE SPOTS",RED SPOTTY CHARLOTTE BAG,0.012475269289953836,0.8485981308411215,15.175519988977932
"CHARLOTTE BAG , SUKI DESIGN + WOODLAND CHARLOTTE BAG + STRAWBERRY CHARLOTTE BAG",RED SPOTTY CHARLOTTE BAG,0.011788305122004836,0.8478260869565216,15.161713492148273
PINK REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.012887447790723237,0.8465703971119134,21.696049219504754
"STRAWBERRY CHARLOTTE BAG + CHARLOTTE BAG , PINK/WHITE SPOTS",RED SPOTTY CHARLOTTE BAG,0.017009232798417234,0.843324250681199,15.081206943877245
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.02374148164431743,0.8404669260700388,22.622982524808325
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.013024840624313036,0.8404255319148937,41.21936112863452
RED SPOTTY CUP + PINK SPOTTY CUP,BLUE SPOTTY CUP,0.010194548252363156,0.8299776286353466,39.27769292756507
