StockCode,DescriptionClean,Revenue,Units,Orders
M,MANUAL,339599.81,9637,791
22423,REGENCY CAKESTAND 3 TIER,330590.32,26495,3920
DOT,DOTCOM POSTAGE,309854.11,1420,1420
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2,94147,5361
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
47566,PARTY BUNTING,148318.28,28217,2676
85099B,JUMBO BAG RED RETROSPOT,145961.83,77286,3249
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80090,2808
POST,POSTAGE,125682.42,5363,1851
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29000000001,35084,2018
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247
79321,CHILLI LIGHTS,80540.88,15848,1140
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,756
85099F,JUMBO BAG STRAWBERRY,67985.77,36863,1833
23084,RABBIT NIGHT LIGHT,66870.03,30739,994
21137,BLACK RECORD COVER FRAME,65189.29,18739,634
21931,JUMBO STORAGE BAG SUKI,61537.55,29183,2330
21621,VINTAGE UNION JACK BUNTING,60286.04,6900,1292
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11678,1583
85099C,JUMBO BAG BAROQUE BLACK WHITE,59057.61,30640,1868
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.700000000004,18634,1427
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,11066,1721
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004,11286,1033
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,27282,2193
82484,WOOD BLACK BOARD ANT WHITE FINISH,56745.73,9831,1176
22470,HEART OF WICKER LARGE,53506.130000000005,17781,1957
22178,VICTORIAN GLASS HANGING T-LIGHT,52382.82,40081,1816
21733,RED HANGING HEART T-LIGHT HOLDER,50346.490000000005,17575,1760
21181,PLEASE ONE PERSON METAL SIGN,50117.14000000001,24732,1810
22386,JUMBO BAG PINK POLKADOT,50081.96,25235,1443
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,9776,1689
21929,JUMBO BAG PINK VINTAGE PAISLEY,49651.99,25608,1619
22189,CREAM HEART CARD HOLDER,49300.94,16186,1299
22469,HEART OF WICKER SMALL,48935.11,27949,2155
21843,RED RETROSPOT CAKE STAND,48564.29,4637,1188
21731,RED TOADSTOOL LED NIGHT LIGHT,48315.84,28910,1537
22457,NATURAL SLATE HEART CHALKBOARD,47288.23,15373,2046
15056BL,EDWARDIAN PARASOL BLACK,47267.450000000004,9504,857
21232,STRAWBERRY CERAMIC TRINKET BOX,47169.35,36629,2310
21754,HOME BUILDING BLOCK WORD,46516.99,7595,2066
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914
20727,LUNCH BAG BLACK SKULL.,45655.27,26678,2351
21623,VINTAGE UNION JACK MEMOBOARD,45402.18,6165,530
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44063.04,15382,1390
84078A,SET/4 WHITE RETRO STORAGE CUBES,43844.96,1128,328
82494L,WOODEN FRAME ANTIQUE WHITE,43811.16,15301,1973
84029E,RED WOOLLY HOTTIE WHITE HEART.,42994.24,10628,1145
22197,SMALL POPCORN HOLDER,42699.89,48597,1412
21915,RED HARMONICA IN BOX,42664.54,36289,1025
21175,GIN + TONIC DIET METAL SIGN,42613.98,20178,1609
22383,LUNCH BAG SUKI DESIGN,42592.72,24649,2364
23298,SPOTTY BUNTING,42513.48,8491,1141
20728,LUNCH BAG CARS BLUE,42270.3,24596,2067
48138,DOORMAT UNION FLAG,42239.5,6303,992
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,16914,2006
22355,CHARLOTTE BAG SUKI DESIGN,41580.97,27557,1406
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,14077,757
20725,LUNCH BAG RED RETROSPOT,41043.02,22232,1837
20713,JUMBO BAG OWLS,40667.05,20814,1314
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
85066,CREAM SWEETHEART MINI CHEST,38599.979999999996,3095,931
20726,LUNCH BAG WOODLAND,38506.74,22120,1928
48194,DOORMAT HEARTS,38428.12,6029,1035
22960,JAM MAKING SET WITH JARS,38380.11,9030,1160
21166,COOK WITH WINE METAL SIGN,38138.86,19932,1425
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385
22629,SPACEBOY LUNCH BOX,37955.5,20807,1368
22699,ROSES REGENCY TEACUP AND SAUCER,37682.8,12861,1411
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710,1415
22727,ALARM CLOCK BAKELIKE RED,36543.77,9234,1363
22328,ROUND SNACK BOXES SET OF 4 FRUITS,35922.51,12876,1155
20685,DOORMAT RED RETROSPOT,35198.96,5039,901
21755,LOVE BUILDING BLOCK WORD,34836.020000000004,5643,1696
22379,RECYCLING BAG RETROSPOT,34640.84,15765,1570
22197,POPCORN HOLDER,34288.67,36749,803
48185,DOORMAT FAIRY CAKE,34191.53,5095,597
22666,RECIPE BOX PANTRY YELLOW DESIGN,33682.62,10728,1664
21523,DOORMAT FANCY FONT HOME SWEET HOME,33466.26,5077,715
22630,DOLLY GIRL LUNCH BOX,33380.83,18122,1334
48187,DOORMAT NEW ENGLAND,33203.79,5291,818
22382,LUNCH BAG SPACEBOY DESIGN,33049.37,19605,2109
15036,ASSORTED COLOURS SILK FAN,32967.03,44392,992
22726,ALARM CLOCK BAKELIKE GREEN,32609.32,7671,1273
22385,JUMBO BAG SPACEBOY DESIGN,32433.5,17070,1250
82486,WOOD S/3 CABINET ANT WHITE FINISH,31594.39,3994,1072
22139,RETROSPOT TEA SET CERAMIC 11 PC,31527.12,6168,1321
22077,6 RIBBONS RUSTIC CHARM,31513.109999999997,17238,1751
85152,HAND OVER THE CHOCOLATE SIGN,31483.7,16373,1460
22865,HAND WARMER OWL DESIGN,31416.04,14537,1212
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873
21479,WHITE SKULL HOT WATER BOTTLE,31079.8,6220,930
23199,JUMBO BAG APPLES,30450.690000000002,14908,978
22501,PICNIC BASKET WICKER LARGE,30339.36,2640,769
20725,LUNCH BAG RED SPOTTY,30063.27,18085,1219
20679,EDWARDIAN PARASOL RED,30020.97,6149,715
22697,GREEN REGENCY TEACUP AND SAUCER,29952.550000000003,9625,1343
84946,ANTIQUE SILVER TEA GLASS ETCHED,29828.78,22032,1080
22659,LUNCH BOX I LOVE LONDON,29561.859999999997,15941,1074
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,6830,1009
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,10708,884
22622,BOX OF VINTAGE ALPHABET BLOCKS,29450.11,2945,571
47590B,PINK HAPPY BIRTHDAY BUNTING,29363.86,5738,872
22158,3 HEARTS HANGING DECORATION RUSTIC,29198.280000000002,8985,718
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.370000000003,4878,1123
21928,JUMBO BAG SCANDINAVIAN PAISLEY,28962.829999999998,15857,880
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260,1148
84978,HANGING HEART JAR T-LIGHT HOLDER,28475.96,21689,1425
22866,HAND WARMER SCOTTY DOG DESIGN,28266.870000000003,12778,1083
22752,SET 7 BABUSHKA NESTING BOXES,28139.45,3459,692
22188,BLACK HEART CARD HOLDER,28112.03,10353,566
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,56061,1993
22467,GUMBALL COAT RACK,28059.480000000003,11868,1095
82583,HOT BATHS METAL SIGN,27981.99,12877,1176
23201,JUMBO BAG ALPHABET,27850.83,13366,906
21212,PACK OF 72 RETROSPOT CAKE CASES,27770.72,48156,1708
20719,WOODLAND CHARLOTTE BAG,27598.42,24482,1576
21930,JUMBO STORAGE BAG SKULLS,27368.08,13390,1321
22624,IVORY KITCHEN SCALES,27282.73,3184,1226
72741,GRAND CHOCOLATECANDLE,27239.46,19712,920
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302,1011
22492,MINI PAINT SET VINTAGE,27056.19,42286,714
84991,60 TEATIME FAIRY CAKE CASES,27041.21,54028,2127
22961,JAM MAKING SET PRINTED,26888.43,17252,1200
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,9772,756
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,802
22149,FELTCRAFT 6 FLOWER FRIENDS,26218.97,12674,1382
22867,HAND WARMER BIRD DESIGN,26117.63,11872,1054
22551,PLASTERS IN TIN SPACEBOY,25912.87,15441,1299
47566B,TEA TIME PARTY BUNTING,25803.49,5801,761
20711,JUMBO BAG TOYS,25719.13,12650,1055
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8175,1050
22507,MEMO BOARD RETROSPOT DESIGN,25603.46,5455,900
22090,PAPER BUNTING RETROSPOT,25497.960000000003,8430,921
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,522
21485,RETROSPOT HEART HOT WATER BOTTLE,25408.010000000002,5168,930
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962,613
22087,PAPER BUNTING WHITE LACE,25389.100000000002,8475,847
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,40439,1259
22084,PAPER CHAIN KIT EMPIRE,25163.56,8803,811
85099B,JUMBO BAG RED WHITE SPOTTY,25043.62,14061,535
20724,RED RETROSPOT CHARLOTTE BAG,24958.77,20671,1258
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,783
23173,REGENCY TEAPOT ROSES,24879.13,2766,416
20972,PINK CREAM FELT CRAFT TRINKET BOX,24785.31,20496,1397
48138,DOOR MAT UNION FLAG,24770.81,3776,674
21314,SMALL GLASS HEART TRINKET POT,24641.390000000003,11426,1066
23203,JUMBO BAG VINTAGE DOILY,24489.08,11448,711
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,5972,835
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.609999999997,106250,1021
71459,HANGING JAM JAR T-LIGHT HOLDER,24440.74,30176,925
84836,ZINC METAL HEART DECORATION,24289.33,19847,1408
22728,ALARM CLOCK BAKELIKE PINK,24257.31,6215,969
47590A,BLUE HAPPY BIRTHDAY BUNTING,24174.010000000002,4752,689
21231,SWEETHEART CERAMIC TRINKET BOX,24128.86,19428,1482
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,1410
22698,PINK REGENCY TEACUP AND SAUCER,23990.620000000003,8050,1025
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,23709.46,3141,661
21790,VINTAGE SNAP CARDS,23506.17,27244,1888
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,470
22605,WOODEN CROQUET GARDEN SET,23426.82,1828,643
82600,NO SINGING METAL SIGN,23096.77,11450,1152
84406B,CREAM CUPID HEARTS COAT HANGER,23080.13,7131,841
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,23040.04,7964,1147
22625,RED KITCHEN SCALES,22911.55,2647,958
22607,WOODEN ROUNDERS GARDEN SET,22906.54,2533,744
21791,VINTAGE HEADS AND TAILS CARD GAME,22858.6,17609,1316
22554,PLASTERS IN TIN WOODLAND ANIMALS,22853.719999999998,13588,1275
22556,PLASTERS IN TIN CIRCUS PARADE,22334.079999999998,13585,1196
37449,CERAMIC CAKE STAND + HANGING CAKES,22333.3,2382,477
20749,ASSORTED COLOUR MINI CASES,22097.61,3062,766
22113,GREY HEART HOT WATER BOTTLE,22025.93,5759,996
22585,PACK OF 6 BIRDY GIFT TAGS,21977.3,17558,1084
22499,WOODEN UNION JACK BUNTING,21826.52,3596,775
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879
84970S,HANGING HEART ZINC T-LIGHT HOLDER,21794.26,26444,1425
22941,CHRISTMAS LIGHTS 10 REINDEER,21727.58,2615,483
22456,NATURAL SLATE CHALKBOARD LARGE,21583.2,4416,835
22969,HOMEMADE JAM SCENTED CANDLES,21501.989999999998,14461,709
21524,DOORMAT SPOTTY HOME SWEET HOME,21414.04,2818,745
21213,PACK OF 72 SKULL CAKE CASES,21390.76,40263,1481
21258,VICTORIAN SEWING BOX LARGE,21386.559999999998,1509,528
48184,DOORMAT ENGLISH ROSE,21326.3,3243,530
22139,RETRO SPOT TEA SET CERAMIC 11 PC,21301.04,4438,771
22502,PICNIC BASKET WICKER SMALL,21260.8,3772,927
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21201.13,2685,517
22083,PAPER CHAIN KIT RETRO SPOT,21151.79,7579,591
22570,FELTCRAFT CUSHION RABBIT,20901.1,5631,807
22424,ENAMEL BREAD BIN CREAM,20886.89,1531,741
23206,LUNCH BAG APPLE DESIGN,20852.579999999998,12147,1036
21218,RED SPOTTY BISCUIT TIN,20800.31,5256,897
22294,HEART FILIGREE DOVE SMALL,20629.38,16671,861
22617,BAKING SET SPACEBOY DESIGN,20546.99,4252,943
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20469.08,17875,350
AMAZONFEE,AMAZON FEE,20467.8,3,3
20723,STRAWBERRY CHARLOTTE BAG,20401.05,18296,1379
22568,FELTCRAFT CUSHION OWL,20244.97,5479,875
85150,LADIES & GENTLEMEN METAL SIGN,20237.72,8361,1110
48188,DOORMAT WELCOME PUPPIES,20209.4,3414,428
22273,FELTCRAFT DOLL MOLLY,20150.99,7355,810
22569,FELTCRAFT CUSHION BUTTERFLY,20104.43,5521,784
21622,VINTAGE UNION JACK CUSHION COVER,19936.94,3699,626
22900,SET 2 TEA TOWELS I LOVE LONDON,19834.04,6156,723
22413,METAL SIGN TAKE IT OR LEAVE IT,19728.24,6976,881
21174,POTTERING IN THE SHED METAL SIGN,19593.809999999998,9696,1135
21936,RED RETROSPOT PICNIC BAG,19576.72,6680,935
22561,WOODEN SCHOOL COLOURING SET,19524.269999999997,11643,905
22558,CLOTHES PEGS RETROSPOT PACK 24,19513.17,13809,1202
22169,FAMILY ALBUM WHITE PICTURE FRAME,19507.6,2275,701
22384,LUNCH BAG PINK POLKADOT,19500.66,11751,1281
84946,ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,689
22427,ENAMEL FLOWER JUG CREAM,19273.280000000002,3217,804
22083,PAPER CHAIN KIT RETROSPOT,19261.030000000002,6137,810
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19194.13,1758,419
21908,CHOCOLATE THIS WAY METAL SIGN,19125.980000000003,9678,974
22061,LARGE CAKE STAND HANGING STRAWBERY,19121.37,2171,520
84949,SILVER HANGING T-LIGHT HOLDER,19015.8,11945,693
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,18744.170000000002,15810,680
22041,"RECORD FRAME 7"" SINGLE SIZE",18650.87,7540,555
71053,WHITE METAL LANTERN,18525.22,4700,701
22555,PLASTERS IN TIN STRONGMAN,18323.32,11321,956
21484,CHICK GREY HOT WATER BOTTLE,18171.14,4585,864
79323W,WHITE CHERRY LIGHTS,18048.72,3004,349
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18044.97,4621,814
22505,MEMO BOARD COTTAGE DESIGN,18034.63,3773,744
22147,FELTCRAFT BUTTERFLY HEARTS,17893.579999999998,12828,1132
22560,TRADITIONAL MODELLING CLAY,17861.71,14836,742
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,17746.71,21605,653
21914,BLUE HARMONICA IN BOX,17725.36,12957,963
22297,HEART IVORY TRELLIS SMALL,17702.62,13715,969
22847,BREAD BIN DINER STYLE IVORY,17669.989999999998,1112,472
22633,HAND WARMER UNION JACK,17576.670000000002,8541,858
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,83
